Adm_Year,Gender,Age,HSC_Pass_Year,Program,Merit_Scholarship,Uni_Transport,Learn_Mode,Smartphone,PC,Eng_Proficiency,Probation,Suspension,Do you attend in teacher consultancy for any kind of academical problems? ,Relationship,CoCurricular,Living_Arrangement,Health_Issues,Physical_Disabilities,Target,Curr_Sem1,Study_Hours1,Study_Sessions1,SM_Hours1,Avg_Attendance1,Skills1,Skill_Dev_Hours1,Interest_Area1,Prev_SGPA1,Curr_CGPA1,Completed_Credits1,Diploma,Family_Income1
2019,Male,22,2018,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Bachelor,No,No,Good,9,3,2,3,95,"Web development skill(Frontend),",2,Data Science,3.2,3.3,103,FALSE,40000
2020,Female,23,2018,BCSE,No,Yes,Offline,Yes,Yes,Basic,Yes,Yes,Yes,Married,Yes,Family,No,No,Poor,7,3,2,4,40,Web development skill(Backend),2,"Software, Hardware",2.4,2.4,70,FALSE,60000
2021,Male,22,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,Yes,Family,No,No,Poor,22,4.5,2,2,90,"Programming, Digital Marketing",1,Data Science,2.16,2.75,35,FALSE,40000
2021,Male,21,2020,BCSE,No,No,Offline,No,Yes,Intermediate,Yes,No,Yes,Single,No,Bachelor,No,No,Poor,5,5,3,2,97,"Programming, Software Development",4,Software,0,2.31,46,FALSE,50000
2021,Female,20,2020,BCSE,No,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,No,Family,Yes,Yes,Poor,5,2,3,3,80,Programming,3,Software,1.75,2.51,39,FALSE,50000
2020,Female,20,2018,BCSE,No,No,Offline,Yes,Yes,Advance,No,No,Yes,Single,No,Family,No,No,Average,8,3,2,2,98,Programming,3,Hardware,2.6,3.39,75,FALSE,500000
2021,Male,20,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,In a relationship,No,Bachelor,No,No,Good,4,7,2.5,1,90,"Programming, Web development",9,Data Science,3.33,3.5,33,FALSE,40000
2021,Male,24,2017,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,No,In a relationship,Yes,Bachelor,No,No,Excellent,4,3,2,2,90,Programming,2,Software,4,3.92,34,FALSE,40000
2021,Male,22,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Family,No,No,Good,2,6,3,2,100,Cyber security,3,Networking,3.25,3.25,11,FALSE,30000
2019,Male,22,2018,BCSE,Yes,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Family,No,No,Average,11,1,1,1,100,Cyber security,2,Software,3.46,3.1,102,FALSE,40000
2022,Male,19,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Average,2,1.5,2,2,85,"Programming, Software Development",1,Networking,3.73,3.73,11,FALSE,20000
2014,Male,26,2014,BCSE,No,Yes,Online,Yes,Yes,Basic,Yes,No,Yes,Single,No,Family,No,No,Poor,22,3,2,1,100,"Cyber security, Networking",5,Networking,2,2,80,FALSE,25000
2019,Male,25,2017,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Average,11,2,1,5,80,Basic,1,Software,3.78,3.56,132,FALSE,15200
2017,Male,24,2015,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Average,15,6,4,1,100,Programming,2,Software,3.42,3.02,136,FALSE,50000
2018,Female,21,2017,BCSE,No,No,Online,Yes,Yes,Advance,Yes,No,Yes,Single,No,Bachelor,Yes,No,Average,14,4,5,5,95,Programming,1,Software,3.5,3.2,122,FALSE,15000
2022,Male,21,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Good,2,2.5,2,3,90,"Programming, Software Development",2,Artificial Intelligence,3.26,3.26,11,FALSE,22000
2022,Female,21,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,Yes,No,No,Single,No,Family,No,No,Poor,2,2.5,2,2,70,Cyber security,1,Artificial Intelligence,3.9,3.8,12,FALSE,25000
2019,Female,21,2018,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Average,9,2,1,5,95,Programming,1,Software,3.7,3.68,105,FALSE,50000
2019,Female,22,2018,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Good,11,3,2,3,100,"Web development skill(Backend),",1,Software,3.82,3.65,78,FALSE,30000
2019,Female,21,2018,BCSE,Yes,No,Offline,Yes,Yes,Advance,No,No,No,Single,Yes,Family,No,No,Average,11,5,2,5,99,Web development skill(Frontend),2,Data Science,3.85,3.72,126,FALSE,100000
2016,Male,24,2016,BCSE,No,Yes,Offline,Yes,Yes,Advance,Yes,No,Yes,Married,Yes,Bachelor,No,No,Average,18,2.5,2,3,95,"Programming, Software Development",3,Software,3.1,2.84,133,FALSE,20000
2022,Female,20,2020,BCSE,Yes,No,Online,Yes,No,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Poor,2,2,2,6,90,"Networking, Nothing",0,Data Science,2.67,2.67,12,FALSE,35000
2019,Female,23,2017,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Average,9,3,2,1,80,"Programming, Web development",1,Data Science,3.82,3.6,84,FALSE,30000
2022,Male,20,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,No,Single,Yes,Family,No,No,Good,2,5,2,2,100,Programming,1,Networking,3.72,3.72,11,FALSE,40000
2019,Female,21,2018,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,No,No,Good,2022,2,1,2,90,Programming,1,Artificial Intelligence,3.51,3.56,125,FALSE,40000
2020,Male,22,2018,BCSE,No,No,Online,Yes,No,Intermediate,No,No,Yes,Single,No,Bachelor,Yes,No,Good,8,8.5,7,4,90,"Software Development skill,",5,Data Science,3.48,3.35,75,FALSE,40000
2019,Male,22,2018,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Bachelor,No,No,Average,11,3.5,2,3,90,Software Development skill,1,Machine Learning / Deep Learning,2.65,2.99,121,FALSE,50000
2019,Male,22,2018,BCSE,No,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,In a relationship,Yes,Bachelor,No,No,Good,11,6.5,3.5,2,100,"Programming, Software Development",5,Machine Learning / Deep Learning,3.72,3.42,131,FALSE,25000
2021,Male,23,2020,BCSE,Yes,No,Online,Yes,No,Basic,Yes,No,Yes,Single,No,Bachelor,No,No,Poor,2022,3.5,2,3,85,Programming,1,Software,1.96,0,11,TRUE,20000
2019,Female,23,2017,BCSE,Yes,Yes,Offline,Yes,Yes,Advance,No,No,Yes,Married,Yes,Family,No,No,Good,10,2,3,1,95,Networking,2,Networking,3.38,3.6,120,FALSE,50000
2018,Male,23,2017,BCSE,No,Yes,Online,Yes,Yes,Intermediate,Yes,No,No,In a relationship,Yes,Family,No,No,Average,14,7,2,2,80,"Programming, Software Development",1,Data Science,2.8,2.8,130,FALSE,18000
2019,Female,21,2018,BCSE,No,No,Online,Yes,Yes,Intermediate,No,No,Yes,Single,No,Family,Yes,No,Good,9,5,2,4,100,"Programming, Web development",2,Web Development,3.36,3.59,100,FALSE,40000
2020,Male,22,2028,BCSE,No,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,No,Bachelor,No,No,Average,8,2.5,2,4,85,"Software Development skill,",1,Data Science,3.33,3.1,80,FALSE,25000
2017,Male,25,2016,BCSE,No,No,Online,Yes,Yes,Intermediate,Yes,No,Yes,Single,Yes,Family,Yes,Yes,Poor,15,1.5,1,2,90,"Networking, MIS",2,Data Science,2.11,2.54,126,FALSE,80000
